id,exp_date,exp_desc,amount,exp_month,exp_year,recurring,recurring_period,category_id,recurring_start,user_id,created_on,updated_on
134,12/3/2019 0:00,Lunch,8.5,3,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
135,12/3/2019 0:00,Dinner,4.5,3,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
136,13/3/2019 0:00,Breakfast,1.9,3,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
137,13/3/2019 0:00,Lunch,3,3,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
138,13/3/2019 0:00,Dinner,4.5,3,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
139,14/3/2019 0:00,Breakfast,2.5,3,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
140,14/3/2019 0:00,Lunch,5.6,3,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
141,14/3/2019 0:00,Dinner,9.35,3,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
142,15/3/2019 0:00,MRT/Bus,1.4,3,2019,FALSE,,4,,1,28/3/2022 0:00,28/6/2022 0:00
143,15/3/2019 0:00,Snacks,7.9,3,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
144,16/3/2019 0:00,MRT/Bus,2.8,3,2019,FALSE,,4,,1,28/3/2022 0:00,28/6/2022 0:00
145,16/3/2019 0:00,Snacks,2.4,3,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
146,17/3/2019 0:00,Breakfast,3.7,3,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
147,17/3/2019 0:00,Lunch,5.5,3,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
148,18/3/2019 0:00,Breakfast,2.2,3,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
149,18/3/2019 0:00,Lunch,3.8,3,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
150,18/3/2019 0:00,Dinner,8.5,3,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
151,18/3/2019 0:00,Massage,44,3,2019,FALSE,,1,,1,28/3/2022 0:00,28/6/2022 0:00
152,18/3/2019 0:00,MRT/Bus,2,3,2019,FALSE,,4,,1,28/3/2022 0:00,28/6/2022 0:00
153,19/3/2019 0:00,Lunch,5.6,3,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
154,19/3/2019 0:00,MRT/Bus,3,3,2019,FALSE,,4,,1,28/3/2022 0:00,28/6/2022 0:00
155,19/3/2019 0:00,Dinner,15,3,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
156,20/3/2019 0:00,Breakfast,2.1,3,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
157,20/3/2019 0:00,Lunch,5.1,3,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
158,20/3/2019 0:00,MRT/Bus,2.5,3,2019,FALSE,,4,,1,28/3/2022 0:00,28/6/2022 0:00
159,20/3/2019 0:00,Dinner,54,3,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
160,21/3/2019 0:00,MRT/Bus,1.8,3,2019,FALSE,,4,,1,28/3/2022 0:00,28/6/2022 0:00
161,22/3/2019 0:00,Breakfast,1.9,3,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
162,22/3/2019 0:00,Lunch,4,3,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
163,22/3/2019 0:00,MRT/Bus,6,3,2019,FALSE,,4,,1,28/3/2022 0:00,28/6/2022 0:00
164,22/3/2019 0:00,Dinner,15.5,3,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
165,22/3/2019 0:00,Maritini,11,3,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
166,22/3/2019 0:00,Back Home,21,3,2019,FALSE,,6,,1,28/3/2022 0:00,28/6/2022 0:00
167,,Estimated Shopping,350,2,2019,FALSE,,6,,1,28/3/2022 0:00,28/6/2022 0:00
168,23/3/2019 0:00,Lunch,4,3,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
169,23/3/2019 0:00,Dinner,4.2,3,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
170,23/3/2019 0:00,Antihistamine,12.7,3,2019,FALSE,,1,,1,28/3/2022 0:00,28/6/2022 0:00
171,23/3/2019 0:00,Heat/Cold Pack,8.1,3,2019,FALSE,,1,,1,28/3/2022 0:00,28/6/2022 0:00
172,23/3/2019 0:00,Bus/MRT,4,3,2019,FALSE,,4,,1,28/3/2022 0:00,28/6/2022 0:00
173,23/3/2019 0:00,Dessert,5,3,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
174,24/3/2019 0:00,Lunch,3.5,3,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
175,24/3/2019 0:00,Bus/MRT,5,3,2019,FALSE,,4,,1,28/3/2022 0:00,28/6/2022 0:00
176,25/3/2019 0:00,Breakfast,2.5,3,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
177,25/3/2019 0:00,Lunch,3.5,3,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
178,25/3/2019 0:00,Cab Home,9,3,2019,FALSE,,6,,1,28/3/2022 0:00,28/6/2022 0:00
179,26/3/2019 0:00,Breakfast,2.2,3,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
180,26/3/2019 0:00,Lunch,4.5,3,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
181,26/3/2019 0:00,Dinner,4.5,3,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
182,27/3/2019 0:00,Lunch,5,3,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
183,27/3/2019 0:00,Dinner,4,3,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
184,27/3/2019 0:00,MRT/Bus,4,3,2019,FALSE,,4,,1,28/3/2022 0:00,28/6/2022 0:00
185,28/3/2019 0:00,Breakfast,1.5,3,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
186,28/3/2019 0:00,Lunch,4.5,3,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
187,28/3/2019 0:00,Dinner,4.5,3,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
188,29/3/2019 0:00,MRT/Bus,8,3,2019,FALSE,,4,,1,28/3/2022 0:00,28/6/2022 0:00
189,29/3/2019 0:00,Beauty In The Pot,58,3,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
190,29/3/2019 0:00,Dinner,24,3,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
191,30/3/2019 0:00,MRT/Bus,2,3,2019,FALSE,,4,,1,28/3/2022 0:00,28/6/2022 0:00
192,31/3/2019 0:00,MRT/Bus,3.8,3,2019,FALSE,,4,,1,28/3/2022 0:00,28/6/2022 0:00
193,31/3/2019 0:00,Cab to CQ,18,3,2019,FALSE,,6,,1,28/3/2022 0:00,28/6/2022 0:00
194,31/3/2019 0:00,Drinks,18,3,2019,FALSE,,6,,1,28/3/2022 0:00,28/6/2022 0:00
195,,Aviva Group Term Life Insurance,9.27,3,2019,TRUE,M,1,1/1/2019,1,28/3/2022 0:00,28/6/2022 0:00
196,,Accident Plan (April 2019),13.65,3,2019,TRUE,M,1,1/4/2019,1,28/3/2022 0:00,28/6/2022 0:00
197,,NTUC Income,40,3,2019,TRUE,M,1,1/1/2019,1,28/3/2022 0:00,28/6/2022 0:00
198,,Allowance to Parents,500,3,2019,TRUE,M,3,1/1/2019,1,28/3/2022 0:00,28/6/2022 0:00
199,,Starhub Phone Bill,24.95,3,2019,TRUE,M,2,1/1/2019,1,28/3/2022 0:00,28/6/2022 0:00
200,,Hospitalization Plan (Sept),26.83,3,2019,TRUE,M,1,1/1/2019,1,28/3/2022 0:00,28/6/2022 0:00
201,1/4/2019 0:00,Breakfast,2.2,4,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
202,1/4/2019 0:00,Lunch,8.5,4,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
203,1/4/2019 0:00,MRT/Bus,5,4,2019,FALSE,,4,,1,28/3/2022 0:00,28/6/2022 0:00
204,1/4/2019 0:00,Dinner,20,4,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
205,2/4/2019 0:00,Breakfast,2.2,4,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
206,2/4/2019 0:00,Lunch,2.9,4,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
207,2/4/2019 0:00,Dinner,4,4,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
208,3/4/2019 0:00,Breakfast,2.1,4,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
209,3/4/2019 0:00,Lunch,2.6,4,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
210,3/4/2019 0:00,Dinner,5.2,4,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
211,4/4/2019 0:00,Breakfast,2,4,2019,FALSE,,7,,1,28/3/2022 0:00,28/6/2022 0:00
